Name,RAJ2000,DEJ2000,Type1,Type2,mag1,Orb.Per,Distance,5%,95%
QU Car      , 11 05 42.8  , -68 37 58   ,NL,  ,11.37,0.450000,590.28,20.97,22.06
CAL 87      , 05 46 48.3  , -71 09 24   ,SS,  ,20.32,0.442678,2200.06,1631.42,4600.92
DX And      , 23 29 46.7  , +43 45 04   ,DN,UG,14.78,0.440502,598.81,13.42,15.38
J1755-2816  , 17 55 53.3  , -28 16 34   ,CV,  ,16.21,0.431035,905.27,86.30,107.10
J1051-6127  , 10 51 36.7  , -51 27 39   ,DN,UG,18.90,0.426916,-4.29,0.02,0.02
V537 Peg    , 22 43 40.7  , +30 55 20   ,DN,  ,14.89,0.422340,739.81,36.13,40.76
KO Vel      , 10 15 58.4  , -47 58 11   ,NL,IP,18.73,0.422000,675.79,127.01,212.71
Q  Cyg      , 21 41 43.9  , +42 50 29   ,Na,  ,14.52,0.420360,1376.33,72.85,78.07
0928+5004   , 09 32 14.9  , +49 50 54   ,NL,UX,16.52,0.418380,2716.41,557.21,1011.52
WX Cen      , 13 12 52.5  , -63 23 45   ,NL,SS,13.71,0.416959,2941.46,250.05,311.77
V1062 Tau   , 05 02 27.5  , +24 45 23   ,NL,IP,16.11,0.415926,1662.19,279.55,449.22
AE Aqr      , 20 40 09.0  , -00 52 16   ,NL,DQ,10.95,0.411656,91.23,0.75,0.76
NY Lup      , 15 48 14.6  , -45 28 40   ,NL,IP,14.33,0.411000,1278.19,67.69,78.16
J0043+4113  , 00 43 20.0  , +41 13 46   ,N ,IP, nan,0.409500,nan,nan,nan
J1756-2748  , 17 56 07.3  , -27 48 48   ,DN,  , nan,0.397460,nan,nan,nan
J0527-6954  , 05 27 48.9  , -69 54 09   ,SS,  , nan,0.392600,nan,nan,nan
J0746-1611  , 07 46 17.1  , -16 11 28   ,NL,  ,14.72,0.391010,650.87,19.68,21.51
SY Cnc      , 09 01 03.4  , +17 53 56   ,DN,ZC,12.56,0.382375,448.81,13.68,15.11
J0629-0335  , 06 29 54.6  , -03 35 21   ,DN,  , nan,0.380000,nan,nan,nan
IU Leo      , 10 57 56.3  , +09 23 14   ,DN,UG,15.30,0.376308,806.89,69.21,87.77
AT Ara      , 17 30 33.8  , -46 05 59   ,DN,UG,15.03,0.375500,993.66,75.59,88.80
RU Peg      , 22 14 02.6  , +12 42 11   ,DN,UG,12.27,0.374600,276.67,5.77,5.97
J0647+4950  , 06 47 29.3  , +49 50 27   ,DN,  ,16.42,0.371500,1084.76,120.71,153.54
J1151-6237  , 11 51 13.0  , -62 37 29   ,N?,SS,15.47,0.360400,4123.02,787.44,1240.02
RZ Gru      , 22 47 12.0  , -42 44 39   ,NL,UX,12.63,0.360000,545.10,27.43,30.71
J1749-2943  , 17 49 54.6  , -29 43 35   ,NL,QN,18.95,0.358700,-2.79,0.01,0.02
QZ Aur      , 05 28 34.0  , +33 18 23   ,Na,  ,16.89,0.357496,3257.85,1182.36,2702.80
J2256-2743  , 22 56 47.8  , -27 43 25   ,DN,  ,16.78,0.350100,1403.98,221.31,310.98
GY Hya      , 14 30 30.5  , -25 52 38   ,DN,UG,15.65,0.347237,686.00,32.80,36.25
V2677 Oph   , 17 39 57.0  , -24 47 07   ,N ,  , nan,0.344300,nan,nan,nan
CH UMa      , 10 07 00.6  , +67 32 47   ,DN,UG,14.78,0.343184,380.85,5.02,5.14
MU Cen      , 12 12 53.9  , -44 28 16   ,DN,UG,14.47,0.342000,521.86,14.29,14.44
V902 Mon    , 06 27 46.4  , +01 48 11   ,NL,IP,16.88,0.340083,3898.37,1604.98,3648.99
BT Mon      , 06 43 47.2  , -02 01 15   ,Na,SW,16.05,0.333814,1491.43,155.43,190.02
V1309 Ori   , 05 15 41.4  , +01 04 40   ,NL,AM,15.63,0.332612,647.92,27.41,30.62
J0838-4831  , 08 38 49.1  , -48 31 25   ,NL,IP,16.88,0.330000,2269.46,421.82,657.75
J0632+2536  , 06 32 13.1  , +25 36 23   ,DN,  ,15.13,0.326000,446.34,15.08,16.16
V392 Hya    , 10 58 56.4  , -29 14 41   ,DN,UG,15.44,0.324952,959.26,70.69,83.41
AF Cam      , 03 32 15.6  , +58 47 22   ,DN,UG,16.57,0.324078,946.88,75.31,89.85
V363 Aur    , 05 33 33.5  , +36 59 32   ,NL,UX,14.13,0.321242,880.79,37.13,39.59
HQ Mon      , 07 11 33.7  , +00 52 05   ,NL,UX,13.01,0.316000,775.01,37.54,44.50
V2275 Cyg   , 21 03 02.0  , +48 45 53   ,Na,IP,18.86,0.314500,4198.10,2034.46,4561.60
J0345+5335  , 03 45 11.6  , +53 35 15   ,CV,DN,16.73,0.313900,738.90,61.05,72.44
V2069 Cyg   , 21 23 44.8  , +42 18 02   ,NL,IP,15.49,0.311680,1183.92,68.57,76.18
J1836-2354  , 18 36 24.7  , -23 54 36   ,DN,UG, nan,0.310000,nan,nan,nan
V1174 Sgr   , 18 01 37.0  , -28 44 19   ,N ,  ,16.88,0.309045,-3.79,0.01,0.02
J1413-6520  , 14 13 12.2  , -65 20 14   ,NL,AM,18.37,0.302000,-12.60,0.02,0.02
RY Ser      , 17 23 07.2  , -12 48 09   ,DN,  ,15.61,0.300900,647.85,34.51,41.08
AC Cnc      , 08 44 27.2  , +12 52 32   ,NL,UX,14.26,0.300478,675.46,27.69,30.43
V2274 Cyg   , 20 07 17.9  , +36 04 37   ,Na,  ,18.68,0.300000,3843.02,1807.82,4309.44
V838 Her    , 18 46 31.5  , +12 14 02   ,Na,  ,20.03,0.297635,3647.47,2342.27,4863.53
J2133+5107  , 21 33 43.7  , +51 07 25   ,NL,IP,15.09,0.297431,1381.44,76.63,86.67
0218+3229   , 02 21 33.5  , +32 43 24   ,DN,  ,15.89,0.297230,519.70,25.64,27.98
V792 Cyg    , 19 31 01.0  , +33 47 04   ,DN,UG,15.61,0.297200,1428.16,150.02,193.35
J1729+2208  , 17 29 51.6  , +22 08 08   ,DN,  ,18.11,0.297000,1848.14,673.24,1858.73
V959 Mon    , 06 39 38.6  , +05 53 53   ,N ,  ,16.67,0.295850,5087.01,2438.07,4488.96
J1052-6141  , 10 52 11.9  , -61 41 14   ,DN,UG,17.36,0.293191,2381.96,605.59,1198.53
EM Cyg      , 19 38 40.1  , +30 30 28   ,DN,ZC,13.04,0.290909,611.16,144.65,305.49
Z  Cam      , 08 25 13.2  , +73 06 39   ,DN,ZC,12.58,0.289841,225.50,3.31,3.40
FH Lyn      , 08 13 21.9  , +45 28 10   ,DN,UG,17.69,0.289000,2109.09,701.26,1796.11
J1619+1351  , 16 19 09.1  , +13 51 46   ,DN,UG,17.53,0.286500,1886.75,422.39,687.69
V1059 Sgr   , 19 01 50.4  , -13 09 43   ,Na,  ,17.78,0.286100,3771.68,1555.96,3747.07
V426 Oph    , 18 07 51.7  , +05 51 49   ,DN,ZC,12.37,0.285300,192.52,2.37,2.53
ST Cha      , 10 47 15.6  , -79 28 07   ,DN,ZC,14.55,0.285000,716.30,20.71,21.62
V2540 Oph   , 17 37 34.4  , -16 23 18   ,Nb,  ,18.81,0.284781,-14.74,0.02,0.02
BY Cir      , 14 44 53.6  , -63 53 55   ,Nb,  ,18.39,0.281600,3846.30,1778.16,3948.02
V972 Oph    , 17 34 44.5  , -28 10 36   ,Nb,  ,16.13,0.281000,1502.58,582.05,2184.11
V4743 Sgr   , 19 01 09.3  , -22 00 06   ,Na,  ,17.09,0.279900,4585.11,1802.53,3701.48
2347-3144   , 23 50 30.5  , -31 27 34   ,NL,  ,15.69,0.277000,2086.39,411.51,713.73
J0902-1130  , 09 02 10.2  , -11 30 32   ,DN,  ,17.56,0.275700,1226.96,306.59,573.47
SS Cyg      , 21 42 42.7  , +43 35 10   ,DN,UG,11.69,0.275130,114.67,1.01,1.06
V587 Lyr    , 19 17 26.5  , +37 10 41   ,DN,UG, nan,0.274000,nan,nan,nan
V2615 Oph   , 17 42 44.0  , -23 40 35   ,Na,  ,19.30,0.272339,3350.14,2092.50,4738.42
LY UMa      , 10 48 18.0  , +52 18 30   ,DN,  ,14.87,0.271278,310.29,6.46,6.69
BF Eri      , 04 39 29.9  , -04 35 59   ,DN,UG,14.50,0.270880,560.30,15.25,17.00
J1039-6255  , 10 39 47.8  , -62 55 29   ,DN,UG,19.72,0.269960,-1.19,0.02,0.02
J0644+3344  , 06 44 34.4  , +33 44 57   ,NL,SW,13.39,0.269374,476.48,11.32,11.40
CM Phe      , 00 21 33.1  , -51 42 34   ,NL,  ,15.40,0.268900,315.30,6.15,6.42
TT Crt      , 11 34 47.2  , -11 45 30   ,DN,UG,15.42,0.268420,545.49,31.73,36.02
EI UMa      , 08 38 22.0  , +48 38 02   ,NL,IP,14.74,0.268100,1138.56,75.28,83.63
V339 Del    , 20 23 30.7  , +20 46 04   ,Na,  ,13.82,0.267920,3688.08,2095.73,4803.35
U  Leo      , 10 24 03.9  , +14 00 26   ,N ,  ,17.24,0.267400,-1.28,0.01,0.02
HS Pup      , 07 53 24.9  , -31 38 50   ,Na,  ,18.06,0.267000,-8.78,0.02,0.01
J1543+7515  , 15 43 36.7  , +75 15 41   ,CV,  ,15.32,0.265359,561.19,13.71,14.16
TW Pic      , 05 34 50.7  , -58 01 41   ,NL,VY,14.23,0.265000,438.23,6.93,7.40
BV Pup      , 07 49 05.3  , -23 34 01   ,DN,UG,14.91,0.265000,558.70,13.44,13.50
TZ Per      , 02 13 51.0  , +58 22 53   ,DN,ZC,13.37,0.262906,478.21,9.41,9.87
NGC 104-W2  , 00 24 15.6  , -72 04 36   ,CV,  ,11.98,0.262000,6855.77,2163.26,3908.77
FY Per      , 04 41 56.6  , +50 42 36   ,NL,VY,12.39,0.258500,344.48,9.32,9.73
AH Her      , 16 44 10.0  , +25 15 02   ,DN,ZC,12.83,0.258116,324.47,5.50,5.36
J0457+4527  , 04 57 08.3  , +45 27 50   ,NL,IP,17.24,0.257819,2497.65,911.53,2252.90
V1425 Aql   , 19 05 26.7  , -01 42 14   ,N ,NL,19.67,0.255800,-1.30,0.01,0.02
J1931+4559  , 19 31 29.2  , +45 59 06   ,NL,DN,12.74,0.254400,351.71,4.40,4.24
J1224-4101  , 12 24 43.3  , -41 01 59   ,DN,UG,19.66,0.253670,3433.91,2111.37,4741.45
XY Ari      , 02 56 08.2  , +19 26 34   ,NL,IP, nan,0.252697,nan,nan,nan
J1544+2553  , 15 44 53.6  , +25 53 49   ,CV,  ,16.92,0.251282,529.32,31.72,39.21
RU LMi      , 10 02 07.5  , +33 51 00   ,DN,UG,17.27,0.251000,1032.87,130.39,174.52
LL Lyr      , 18 35 12.9  , +38 20 04   ,DN,UG,17.44,0.249069,842.08,81.31,98.98
V1039 Cen   , 13 55 41.2  , -64 15 57   ,Na,IP,18.87,0.247000,3039.65,1629.17,4192.57
PQ Aql      , 19 53 06.6  , +12 59 01   ,DN,UG,17.11,0.246750,1490.12,289.60,426.31
J1509-6649  , 15 09 26.0  , -66 49 23   ,NL,IP,14.66,0.245400,1168.73,60.13,66.89
RW Sex      , 10 19 56.6  , -08 41 56   ,NL,UX,10.63,0.245070,237.14,8.07,8.35
M 5-V101    , 15 18 14.5  , +02 05 35   ,DN,UG,20.33,0.242000,-1.59,0.01,0.02
NGC 104-W1  , 00 24 16.7  , -72 04 27   ,CV,  ,12.68,0.240500,592.15,148.21,301.97
AH Eri      , 04 22 38.1  , -13 21 30   ,DN,UG,17.46,0.239100,1253.54,194.09,282.75
J1740-2903  , 17 40 16.1  , -29 03 38   ,NL,IP,18.38,0.238400,1709.48,711.53,2414.21
TX Col      , 05 43 20.2  , -41 01 55   ,NL,IP,15.62,0.238300,924.89,43.17,47.45
J0518+2941  , 05 18 14.3  , +29 41 13   ,NL,  ,15.98,0.238300,594.32,37.87,44.36
AG Hya      , 09 50 29.8  , -23 45 17   ,DN,UG,16.90,0.238000,1333.10,246.17,365.90
J0742-1049  , 07 42 08.2  , -10 49 32   ,  ,  ,16.15,0.237800,520.79,25.19,27.80
J1744-2603  , 17 44 44.8  , -26 03 30   ,DN,  ,17.79,0.237089,643.54,162.86,351.54
NGC 6397-CV6, 17 40 49.0  , -53 39 49   ,  ,  , nan,0.235196,nan,nan,nan
DO Leo      , 10 40 51.2  , +15 11 34   ,NL,  ,16.85,0.234515,1560.90,330.17,554.65
V344 Ori    , 06 15 19.0  , +15 31 00   ,DN,UG,17.96,0.234000,835.56,171.22,255.22
V667 Pup    , 07 32 37.7  , -13 31 08   ,NL,IP,15.62,0.233800,819.93,76.62,91.23
VY Scl      , 23 29 00.5  , -29 46 46   ,NL,VY,13.37,0.232300,646.66,38.08,41.97
V347 Pup    , 06 10 33.6  , -48 44 26   ,NL,SW,13.42,0.231936,295.69,2.27,2.34
RW Tri      , 02 25 36.1  , +28 05 51   ,NL,UX,13.35,0.231883,315.46,7.72,7.66
WX Pyx      , 08 33 05.8  , -22 48 33   ,NL,IP,17.07,0.230700,1785.52,363.24,584.08
J0805+0720  , 08 05 34.5  , +07 20 29   ,CV,  ,17.90,0.229000,2635.39,1132.02,3463.41
TV Col      , 05 29 25.4  , -32 49 05   ,NL,IP,13.93,0.228600,512.51,7.46,8.02
V705 Cas    , 23 41 47.3  , +57 31 00   ,Na,  ,17.03,0.228000,2267.34,543.59,1012.73
V365 Car    , 11 03 15.9  , -58 27 26   ,Nb,  ,18.15,0.225000,4049.45,1736.30,4042.10
J1753-2917  , 17 53 18.7  , -29 17 17   ,DN,SH, nan,0.224980,nan,nan,nan
J1830-1232  , 18 30 49.9  , -12 32 19   ,NL,IP,17.65,0.223900,2654.16,1042.06,2892.46
EZ Del      , 20 25 22.9  , +15 45 58   ,DN,UG,17.88,0.223400,2285.98,836.41,2144.75
V709 Cas    , 00 28 48.9  , +59 17 22   ,NL,IP,14.37,0.222204,747.74,19.12,19.20
DM Cap      , 21 54 11.1  , -09 01 22   ,CV,  , nan,0.221500,nan,nan,nan
CN Vel      , 11 02 38.7  , -54 23 10   ,Na,  ,17.47,0.220000,5381.39,2210.16,4201.47
NGC 104-W120, 00 24 10.8  , -72 06 20   ,CV,  , nan,0.220000,nan,nan,nan
NR TrA      , 16 18 48.2  , -60 27 49   ,N ,  ,16.75,0.219000,4556.59,1556.43,3176.89
N LMC 1995  , 05 26 50.3  , -70 01 24   ,N ,EG, nan,0.219000,nan,nan,nan
CZ Ori      , 06 16 43.2  , +15 24 12   ,DN,UG,15.75,0.218900,498.45,40.10,50.24
FO Aql      , 19 16 38.2  , +00 07 37   ,DN,UG,15.64,0.217735,489.06,19.41,22.02
AY Psc      , 01 36 55.4  , +07 16 30   ,DN,ZC,15.91,0.217321,752.27,46.93,49.66
V513 Cas    , 00 18 14.9  , +66 18 14   ,DN,ZC,15.78,0.217000,849.16,51.75,56.48
HL CMa      , 06 45 17.2  , -16 51 35   ,DN,ZC,13.65,0.216787,303.35,5.73,6.24
PQ Gem      , 07 51 17.4  , +14 44 25   ,NL,IP,14.07,0.216359,769.60,34.15,37.46
AR Cnc      , 09 22 07.5  , +31 03 15   ,DN,UG,18.32,0.214600,1902.04,1031.96,3965.17
V5588 Sgr   , 18 10 21.4  , -23 05 30   ,Na,  ,19.42,0.214320,2824.52,1894.33,4719.68
HR Del      , 20 42 20.4  , +19 09 40   ,Nb,  ,12.31,0.214165,962.40,50.76,55.85
AR Cir      , 14 48 09.2  , -60 00 25   ,Nb,  ,17.84,0.214000,1999.92,583.07,1149.82
PW Vul      , 19 26 05.1  , +27 21 59   ,Na,  ,17.63,0.213700,2636.43,789.89,1723.76
AP Cru      , 12 31 20.6  , -64 26 25   ,N ,IP,20.80,0.213000,3499.00,2355.12,4725.22
HZ Pup      , 08 03 22.8  , -28 28 29   ,Na,NL,16.87,0.213000,2607.30,600.28,1127.66
NGC 6752-CV1, 19 10 52.1  , -59 58 01   ,GC,  , nan,0.213000,nan,nan,nan
J1759-2624  , 17 59 11.7  , -26 24 40   ,DN,  ,19.90,0.211945,-1.85,0.01,0.02
EX Dra      , 18 04 14.1  , +67 54 12   ,DN,UG,14.49,0.209937,246.47,1.83,1.95
RX And      , 01 04 35.6  , +41 17 58   ,DN,ZC,13.17,0.209893,199.06,3.26,3.40
J0816+4530  , 08 16 10.8  , +45 30 10   ,DN,  ,19.21,0.209600,3207.28,2104.03,4788.13
J0900+4301  , 09 00 16.6  , +43 01 18   ,DN,  ,17.79,0.209370,892.15,168.11,244.00
J1616-4958  , 16 16 37.8  , -49 58 45   ,NL,IP,16.30,0.208500,1660.21,269.92,380.92
2205+0201   , 22 08 07.5  , +02 16 20   ,  ,  ,16.17,0.208000,3666.02,1099.99,2433.82
V4745 Sgr   , 18 40 02.6  , -33 26 56   ,Nb,IP,17.76,0.207820,4406.66,2208.71,4540.35
TW Tri      , 01 36 37.0  , +32 00 40   ,DN,UG,16.23,0.207584,731.04,55.73,71.06
V617 Sgr    , 18 07 50.9  , -35 10 25   ,NL,SS,14.44,0.207166,9774.98,3006.98,5054.52
V3885 Sgr   , 19 47 40.5  , -42 00 26   ,NL,UX,10.25,0.207161,132.87,2.36,2.18
V446 Her    , 18 57 21.6  , +13 14 29   ,Na,DN,16.33,0.207000,1393.04,207.15,282.37
V495 Hya    , 08 44 00.1  , +02 39 19   ,DN,  ,18.61,0.207000,1079.79,308.45,791.21
V825 Her    , 17 18 37.0  , +41 15 51   ,NL,  ,14.12,0.206000,1081.65,51.96,55.16
J0808+3131  , 08 08 46.2  , +31 31 06   ,DN,UG,18.68,0.205900,3762.70,2042.14,4606.43
J0911+0841  , 09 11 27.4  , +08 41 41   ,DN,  ,19.26,0.205400,2696.22,1657.95,4274.09
T  Aur      , 05 31 59.1  , +30 26 45   ,Nb,  ,15.15,0.204378,883.84,61.11,70.46
J2138+2638  , 21 38 05.0  , +26 38 20   ,DN,UG,17.75,0.202200,1644.12,518.16,1554.50
FO Aqr      , 22 17 55.4  , -08 21 05   ,NL,IP,13.52,0.202060,527.59,22.35,23.83
AT Cnc      , 08 28 36.9  , +25 20 03   ,DN,ZC,14.69,0.201100,454.44,14.69,16.21
HX Peg      , 23 40 23.7  , +12 37 42   ,DN,ZC,14.74,0.200800,583.30,29.11,32.25
CZ Aql      , 19 19 58.2  , -07 10 55   ,DN,NL,14.91,0.200500,625.26,28.57,28.86
V895 Cen    , 14 29 27.2  , -38 04 10   ,NL,AM,16.24,0.198553,369.13,13.35,14.46
V345 Pav    , 19 35 43.0  , -59 08 22   ,NL,UX, nan,0.198096,nan,nan,nan
J1822-2956  , 18 22 16.2  , -29 56 40   ,DN,  ,19.28,0.197797,3233.74,2062.06,4633.89
UX UMa      , 13 36 41.0  , +51 54 50   ,NL,UX,12.97,0.196671,297.69,3.41,3.45
MU Cam      , 06 25 16.2  , +73 34 40   ,NL,IP,14.90,0.196600,983.06,40.64,46.26
V433 Ara    , 17 00 06.1  , -57 51 52   ,NL,VY,17.40,0.195730,1041.19,162.52,241.10
LS IV -08 3 , 16 56 29.6  , -08 34 39   ,NL,UX,11.32,0.195289,211.24,4.51,4.89
V363 Lyr    , 19 08 51.6  , +43 00 32   ,DN,UG,17.28,0.195000,1439.24,187.99,249.34
CT Ser      , 15 45 39.1  , +14 22 33   ,N ,  ,16.63,0.195000,4603.59,1433.46,2789.79
NGC 104-CV3 , 00 24 06.2  , -72 04 43   ,NL,AM,11.06,0.194490,-9.96,0.01,0.01
2325+8205   , 23 26 50.5  , +82 22 11   ,DN,ZC,16.32,0.194335,466.37,12.80,14.17
J1814-2847  , 18 14 33.0  , -28 47 35   ,NL,UX,18.34,0.194257,2658.95,1228.59,3339.17
IX Vel      , 08 15 18.9  , -49 13 18   ,NL,UX,9.32,0.193927,90.57,0.38,0.39
DQ Her      , 18 07 30.4  , +45 51 32   ,Na,DQ,15.23,0.193621,500.27,9.14,10.42
J0107+4845  , 01 07 42.8  , +48 45 19   ,NL,SW,15.08,0.193598,769.03,56.50,66.84
AI Tri      , 02 03 48.6  , +29 59 26   ,NL,AM,15.85,0.191746,560.36,30.58,34.47
V825 Sco    , 17 49 53.8  , -33 32 13   ,N ,  ,19.37,0.191659,-0.36,0.02,0.02
BI Ori      , 05 23 51.8  , +01 00 30   ,DN,UG,15.92,0.191500,716.73,61.55,70.75
J1745-3746  , 17 45 15.6  , -37 46 28   ,NL,UX, nan,0.189915,nan,nan,nan
V416 Dra    , 18 57 20.4  , +71 31 19   ,DN,UG,16.08,0.189109,625.00,26.00,28.03
CG Dra      , 19 07 32.8  , +52 58 29   ,DN,UG, nan,0.188640,nan,nan,nan
J0944-5617  , 09 44 09.4  , -56 17 11   ,NL,SW,16.84,0.187934,790.93,62.34,70.95
V697 Sco    , 17 51 21.8  , -37 24 55   ,Na,IP,18.11,0.187000,453.49,79.11,116.57
HM Leo      , 09 38 37.0  , +07 14 55   ,DN,  ,16.98,0.186800,519.88,71.00,96.12
J2047+0000  , 20 47 20.8  , +00 00 08   ,CV,DN,19.97,0.186444,618.53,237.00,1488.87
J1006+2337  , 10 06 58.4  , +23 37 24   ,DN,UG,18.26,0.185913,978.40,308.66,992.79
HH Cnc      , 09 16 50.7  , +28 49 43   ,DN,UG,18.93,0.184500,3301.61,2107.26,5377.70
HY Leo      , 09 46 34.5  , +13 50 58   ,NL,IP,17.26,0.184160,1305.78,266.23,463.04
V1323 Her   , 18 03 39.7  , +40 12 21   ,NL,IP,17.44,0.183400,2418.36,598.97,1123.22
J0649-0737  , 06 49 50.8  , -07 37 41   ,NL,AM,17.30,0.183000,622.66,60.27,71.83
J1959+5625  , 19 59 19.4  , +56 25 21   ,DN,Nr,17.14,0.183000,765.57,64.76,74.46
MQ Dra      , 15 53 31.1  , +55 16 15   ,NL,AM,17.35,0.182970,186.50,5.00,5.52
J1810-3052  , 18 10 46.6  , -30 52 32   ,DN,  , nan,0.182941,nan,nan,nan
SS Aur      , 06 13 22.4  , +47 44 26   ,DN,UG,14.46,0.182800,259.86,4.48,4.65
TW Vir      , 11 45 21.1  , -04 26 06   ,DN,UG,16.69,0.182670,433.73,32.23,40.04
V418 Gem    , 07 04 08.7  , +26 25 11   ,NL,IP,16.92,0.182100,4201.50,1822.43,3938.14
V542 Cyg    , 19 49 10.5  , +58 31 59   ,DN,UG,17.25,0.181500,533.70,148.68,382.17
V795 Cyg    , 19 34 34.1  , +31 32 12   ,DN,UG,17.81,0.181300,668.48,76.30,96.06
V2306 Cyg   , 19 58 14.5  , +32 32 42   ,NL,IP,15.63,0.181200,1365.61,93.16,114.45
GI Mon      , 07 26 47.1  , -06 40 30   ,Na,IP,16.12,0.180200,3277.95,717.66,1411.87
BD Pav      , 18 43 11.9  , -57 30 44   ,DN,UG,14.86,0.179301,336.29,6.04,6.35
V513 Peg    , 22 16 31.2  , +29 00 21   ,DN,UG,16.38,0.179200,398.81,15.10,15.86
