Name,RA_Simbad,DEC_Simbad
V358 Aqr                                                           ,23 16 03.6189820807,-05 27 08.916249824
CC Scl,23 15 31.8595503456,-30 48 47.671755524
CP Tuc,23 15 19.10        ,-59 10 28.3        
RX J2313.7+2117,23 13 47.3353861480,+21 17 29.340921982
LM Cas                                              ,23 12 59.94        ,+56 51 20.6        
NOVA And 1986                                              ,23 12 05.76        ,+47 28 19.7        
CG Cep                                                              ,23 10 26.0685953135,+66 33 31.602398441
NOVA And 1968,23 10 00.0,+36 56 00
V405 Peg                                                           ,23 09 49.1426536138,+21 35 17.176816858
KZ Cas                                                              ,23 08 13.9127018466,+56 27 16.995475670
AN Gru                                                              ,23 07 55.1868258266,-47 25 40.915479293
NY Ser,23 04 37.4245965946,+49 27 23.859316992
HY Psc                                                           ,23 03 51.6365159497,+01 06 51.166210477
V425 Cas,23 03 46.6580438884,+53 17 14.863094817
V369 Peg,23 03 41.8138361756,+17 17 55.005185788
PG 2300+166                                                              ,23 03 20.6120325605,+16 49 38.754294568
GD 245                                                              ,22 58 48.1351298257,+25 15 43.908160444
V368 Peg,22 58 43.4811738543,+11 09 12.048868013
PB  7412                                                            ,22 58 31.1815235770,-09 49 31.653465215
V709 Cep                                              ,22 58 09.12        ,+66 21 12.4        
2QZ J225647.8-274325                                                            ,22 56 47.8453368675,-27 43 25.263352899
AO Psc,22 55 17.9860142780,-03 10 39.982033015
2QZ J225115.2-284046                                                              ,22 51 15.2181270724,-28 40 46.357020489
GD 552                                                           ,22 50 39.9585471609,+63 28 38.333079055
EG Lac                                           ,22 50 38.8         ,+55 14 52          
2MASS J22503295+4457081                                                              ,22 50 32.9562241006,+44 57 08.061541500
DK Lac,22 49 46.9314859439,+53 17 19.799282044
TY PsA,22 49 39.9046847942,-27 06 53.138810237
RZ Gru,22 47 12.0062857561,-42 44 38.722376815
V367 Peg,22 45 00.7447582872,+16 55 13.253490364
V537 Peg                                          ,22 43 40.7045039556,+30 55 20.060381883
[VV2006] J224331.9-001232                                                              ,22 43 31.9280773691,-00 12 32.960512818
2QZ J224319.6-293328                                                              ,22 43 19.6396738813,-29 33 27.902910380
KQ Peg                                                              ,22 42 26.8315567211,+19 32 19.987882625
V349 Aqr,22 38 43.8306697898,+01 08 20.710444481
PG 2235+082                                                              ,22 37 35.4349887629,+08 28 48.773210120
HS 2237+8154                                                              ,22 37 15.5602204676,+82 10 27.357588994
DI Lac,22 35 48.4952966889,+52 42 59.640075678
SDSS J223439.93+004127.2                                                            ,22 34 39.9296426865,+00 41 27.312371556
VZ Gru                                                              ,22 33 50.2212879895,-50 12 23.565373150
SDSS J223252.35+140353.0                                                ,22 32 52.342       ,+14 03 53.00       
BS Cep                                                              ,22 29 05.4421079968,+65 14 41.878191443
NQ Lac                                              ,22 28 43.86        ,+56 14 59.3        
QSO B2223-114                                                          ,22 25 43.71839674  ,-11 13 40.6978039  
MR Lac                                                              ,22 24 42.9258455338,+50 31 41.082377305
2QZ J222416.2-292421                                                            ,22 24 16.2691007808,-29 24 21.676714344
NOVA Lac 1986,22 24 10.6,+48 27 55
MN Lac                                                              ,22 23 04.6649214678,+52 40 58.212141719
AY Lac                                           ,22 22 22.1         ,+50 23 40          
V521 Peg                                                           ,22 21 44.7931141813,+18 40 08.200211087
HL Aqr,22 20 26.9273984400,+02 00 53.375490165
2QZ J221856.4-281618                                              ,22 18 56.46        ,-28 16 18.3        
FO Aqr,22 17 55.3796324299,-08 21 03.755362145
II Aqr                                              ,22 16 27.56        ,-20 27 24.7        
V381 Lac                                                              ,22 15 58.8778664311,+42 22 46.508092003
CP Lac,22 15 41.1032698353,+55 37 01.322546558
SDSS J221519.81-003257.2                                                ,22 15 19.810       ,-00 32 57.22       
RU LMi,22 14 02.5507273174,+12 42 11.275480341
KM Lac,22 13 49.4,+55 28 26
NOVA Cep 1983                                              ,22 13 45.55        ,+57 01 14.4        
UU Aqr,22 09 05.7611667934,-03 46 17.688400697
2205+0201,22 08 07.5,+02 16 20
CRTS J220554.0+115554                                                            ,22 05 53.9740667452,+11 55 53.698006776
PS Lac                                              ,22 05 39.92        ,+51 39 00.7        
IV Cep                                                              ,22 04 36.9158219075,+53 30 23.630148085
Lanning 420                                           ,22 02 43.10        ,+59 03 20.5        
V2466 Cyg                                              ,22 02 41.84        ,+46 39 06.9        
BG Lac                                                              ,22 00 25.1468672171,+43 26 43.329596739
CS Ind                                                           ,21 59 54.5576692988,-68 50 36.635901722
V388 Peg,21 57 32.3260046103,+08 55 15.074610880
V1404 Cyg                                              ,21 57 16.64        ,+52 12 01.8        
2MASS J21543365+3550176,21 54 33.6535448666, +35 50 17.563606655
SDSS J215411.13-090121.7,21 54 11.1278334150,-09 01 21.654811991
LS Peg,21 51 57.9372002301,+14 06 53.267732979
NSV 13904                                                              ,21 51 43.2251005957,+43 09 23.543848970
EQ J214850-020622.2                                              ,21 48 50.00        ,-02 06 22.2        
V1089 Cyg                                              ,21 44 17.67        ,+47 54 50.0        
Antipin V66                                                ,21 44 03.779       ,+44 39 02.04       
SDSS J214354.60+124458.0                                                            ,21 43 54.6021221147,+12 44 57.849408552
SDSS J214354.60+124458.0                                                              ,21 43 54.6021221147,+12 44 57.849408552
[BL2005] J214332.94+461222.2                                              ,21 43 32.94        ,+46 12 22.2        
Scovil star                                                              ,21 42 58.9563798924,+31 34 42.403801069
V1760 Cyg                                                              ,21 42 56.9607803043,+31 27 31.325067163
SS Cyg,21 42 42.8034554117,+43 35 09.863763484
V1668 Cyg,21 42 35.22        ,+44 01 54.9        
PY Per,21 41 43.9276952364,+42 50 29.039173205
CF Gru,21 41 22.96        ,-45 04 31.0        
V1251 Cyg,21 40 54.40        ,+48 39 43.3        
V1570 Cyg                                                              ,21 40 16.9061542183,+47 59 48.208183031
Cl* NGC 7099    SAW V4                                                              ,21 39 58.4494805525,-23 11 43.652825558
2MASS J21380504+2638196                                          ,21 38 05.0418164050,+26 38 19.678182045
CE Gru,21 37 56.38        ,-43 42 13.1        
LQ Peg,21 36 19.1178186415,+11 40 54.378039499
V632 Cyg,21 36 04.2150789050,+40 26 19.390210705
V630 Cyg,21 34 59.1803955282,+40 40 18.529920975
V1081 Cyg,21 34 15.96,+49 11 22.9
NSV 13783                                              ,21 34 06.09        ,-18 51 46.3        
RX J2133.7+5107                                                            ,21 33 43.6347819631,+51 07 24.730222487
CI Gru,21 33 06.79        ,-42 28 51.5        
VZ Aqr,21 30 24.6233346783,-02 59 17.617339655
RX J2130.6+4710,21 30 18.4670095810,+47 10 07.402855249
NGC  7078     4                                                                                 ,21 29 58.322       ,+12 10 01.45       
NGC 7078 YGBS 305,21 29 58.278,+12 10 13.46
[HCV2005] C                                                                             ,21 29 57.34        ,+12 10 43.7        
V1075 Cyg                                              ,21 29 18.80        ,+42 19 11.7        
CH Gru                                                              ,21 28 35.1616440206,-42 32 31.071948895
V2069 Cyg,21 23 44.8214789115,+42 18 01.634189326
EQ J212313-021446.6                                              ,21 23 13.00        ,-02 14 46.6        
CV Aqr                                           ,21 21 46.0         ,-14 17 39          
EC 21178-5417                                                            ,21 21 26.5341088967,-54 04 34.627945611
 V2151 Cyg,21 18 55.43, +54 12 51.1
VV Equ                                             ,21 16 05.436       ,+11 34 07.29       
CD Ind,21 15 41.0456943110,-58 40 54.060875785
EF Peg,21 15 04.1026724023,+14 03 49.335194049
V364 Peg,21 12 29.67        ,+12 32 04.4        
VY Aqr,21 12 09.2516769018,-08 49 36.776018749
V1500 Cyg,21 11 36.5811336631,+48 09 01.950330133
V1065 Cyg                                              ,21 10 59.06        ,+38 57 13.0        
Lanning 386                                           ,21 08 34.03        ,+39 05 35.3        
V1062 Cyg                                              ,21 08 12.20        ,+36 49 27.7        
HU Aqr,21 07 58.1945403160,-05 17 40.557984218
V1060 Cyg                                                              ,21 07 42.1834869354,+37 14 08.801050118
EV Aqr,21 06 17.8530030982,+00 52 43.859521059
AO Oct,21 05 08.23        ,-75 21 01.8        
QV Aqr                                                           ,21 04 49.9442974745,+01 05 45.764989070
FX Cep                                                              ,21 03 06.5883583292,+66 10 32.401997539
V2275 Cyg,21 03 01.9562008424,+48 45 53.112383286
2MASS J21024104-0044085                                                              ,21 02 41.0785239172,-00 44 08.391645667
AS  453                                                              ,21 02 09.8173494732,+45 46 32.736335364
2XMM J210131.2+105251                                                ,21 01 31.264       ,+10 52 51.55       
SDSS J210014.12+004446.0                                                           ,21 00 14.1123694519,+00 44 46.000484188
QT Aqr                                                           ,20 59 14.8733910004,-06 12 20.458742008
V450 Cyg,20 58 47.6345667817,+35 56 30.433057006
VW Vul,20 57 45.0623349495,+25 30 25.695835880
1RXS J205652.1-301433,20 56 52.0,-30 14 38
UZ Vul                                                              ,20 56 46.0385625886,+23 34 35.735778148
UY Vul                                                              ,20 55 52.8463039474,+26 40 51.578383827
V1711 Cyg                                                              ,20 55 00.5629885292,+44 55 31.770670396
V1330 Cyg,20 52 45.3621609909,+35 59 21.314442481
V751 Cyg,20 52 12.7784292502,+44 19 26.087626178
2MASS J20501785-0536269,20 50 17.86        , -05 36 26.9        
SDSS J204827.91+005008.9                                                            ,20 48 27.9158851502,+00 50 08.959289384
1SDSS J204817.85-061044.8                                                            ,20 48 17.8490061642,-06 10 44.759173999
2SLAQ J204720.76+000007.7                                                            ,20 47 20.7665616344,+00 00 07.718158990
V516 Cyg,20 47 09.7893452651,+41 55 26.481647846
V713 Cep                                                           ,20 46 38.6772465985,+60 38 03.102358008
UY Mic                                                              ,20 44 53.6352463177,-38 39 24.596379200
SDSS J204448.92-045928.8                                                            ,20 44 48.9225306286,-04 59 28.809793120
V1697 Cyg                                           ,20 43 17.0         ,+42 42 39          
HR Del,20 42 20.3467536529,+19 09 39.304605595
TY Vul,20 41 43.9         ,+25 35 10          
AE Aqr,20 40 09.1598509019,-00 52 15.057042857
IL Vul,20 38 33.0         ,+22 42 17          
V747 Cyg                                                              ,20 37 17.6698233307,+50 19 38.936801166
HO Del,20 36 55.4809637567,+14 03 09.409887276
CM Mic                                                              ,20 36 54.6300898353,-43 22 31.561701298
V1052 Cyg                                                              ,20 36 06.3761701877,+54 31 42.213961888
KPD 2032+5037                                                              ,20 34 14.4993114095,+50 48 06.072166487
TT Ind                                                              ,20 33 37.1459528636,-56 33 45.090874826
TU Ind                                                              ,20 33 10.5680061739,-45 26 00.671224912
IS Del                                                              ,20 31 09.5799330974,+16 23 08.712374123
V1974 Cyg,20 30 31.61        ,+52 37 51.3        
KK Tel,20 28 38.5092290989,-52 18 45.184870997
V1390 Cyg                                                              ,20 28 23.3252003106,+39 03 55.295815314
V503 Cyg,20 27 17.3992310371,+43 41 22.503129197
IO Del                                           ,20 26 47.0         ,+18 30 59          
QU Car,20 26 45.94        ,+27 50 42.2        
V2276 Sgr                                              ,20 26 22.16        ,-43 40 31.9        
V374 Vul                                                              ,20 26 08.7662338579,+28 09 39.037025928
EZ Del,20 25 22.4212852593,+15 46 00.228281593
SDSS J202520.13+762222.4                                                              ,20 25 20.1491986327,+76 22 22.413339696
EC 20220-2243                                                              ,20 24 59.4374925213,-22 33 23.122043404
CM Del,20 24 56.9279733276,+17 17 54.279333180
 Cep,20 24 45.94, +60 16 23.9
V404 Cyg                                                ,20 24 03.820       ,+33 52 01.90       
MM Sco,20 23 38.1857801048,+64 36 26.584302578
NOVA Del 2013                                          ,20 23 30.6864752010,+20 46 03.777415270
V1776 Cyg,20 23 30.5190095041,+46 31 29.437737900
2MASS J20224225-2107546                                                              ,20 22 42.2615618517,-21 07 54.676064323
V4738 Sgr,20 22 37.69        ,-39 54 08.6        
PU Vul                                                              ,20 21 13.3112218215,+21 34 18.693825946
 NSV 13022,20 20 37., +20 11 
V794 Aql,20 17 33.9157230491,-03 39 50.961851201
V767 Cyg                                              ,20 16 49.97        ,+53 12 24.6        
V1377 Cyg                                           ,20 16 49.0         ,+38 21 08          
RX J2015.6+3711                                                              ,20 15 36.9641067212,+37 11 23.010848248
RX J2015.5+3704,20 15 35.71,+37 04 59.0
RX J2015.2+3659                                              ,20 15 14.87        ,+36 59 22.2        
V1101 Aql,20 13 04.0124061861,+15 35 46.112450715
V1316 Cyg,20 12 12.6855822804,+42 45 53.268861435
V1310 Cyg                                                              ,20 09 32.4204562653,+41 00 28.448099147
NOVA Cyg 2005                                              ,20 09 19.05        ,+39 48 52.9        
ET Sge                                              ,20 09 06.33        ,+17 43 41.0        
AX Cap,20 08 56.96        ,-17 16 37.6        
V349 Pav,20 08 55.8720627683,-65 27 43.502458879
GS Pav,20 08 07.6207358110,-69 48 58.761431962
WZ Sge,20 07 36.5036203067,+17 42 14.733657651
V2274 Cyg,20 07 17.94        ,+36 04 37.2        
GL Sge,20 07 09.4,+18 51 38
V1363 Cyg,20 06 11.5278249566,+33 42 37.681666503
CTCV J2005-2934,20 05 51.2         , -29 34 58          
Q Cyg,20 05 41.9088490597,+22 39 58.839371205
NSV 12778                                                              ,20 05 07.6641696450,+38 07 09.404824644
V550 Cyg,20 05 04.9317626320,+32 21 22.624080569
RR Tel                                                              ,20 04 18.5382966387,-55 43 33.154224077
RZ Sge,20 03 18.47616     ,+17 02 51.9432     
"1,79769313486232E+308",20 02 48.8092018628,+22 28 24.868408015
V1032 Cyg                                              ,20 02 40.12        ,+57 16 25.6        
V823 Cyg,20 01 49.27        ,+36 07 24.5        
V1028 Cyg,20 00 56.59        ,+56 56 37.2        
SW Vul                                              ,20 00 05.29        ,+22 56 06.4        
V337 Cyg,19 59 52.9346897505,+39 13 59.719821478
V498 Vul                                             ,19 59 51.283       ,+22 42 32.13       
V4140 Sgr,19 58 49.7022483148,-38 56 13.225654759
AW Sge,19 58 37.0703957991,+16 41 28.327578767
V476 Cyg                                              ,19 58 24.46        ,+53 37 07.5        
V2306 Cyg,19 58 14.4693308282,+32 32 42.002218648
UU Aql,19 57 18.7657735308,-09 19 21.064479670
V393 Pav,19 57 11.5514948867,-57 38 22.431219139
V348 Pav                                              ,19 56 48.47        ,-60 34 26.3        
V725 Aql,19 56 45.06        ,+10 49 32.3        
V1327 Aql                                                              ,19 56 18.9578092750,+01 46 43.998922991
LAWD 78,19 55 46.9925687623,-20 31 03.251016764
V1162 Cyg                                                              ,19 54 45.7108992832,+36 47 11.260499337
NOVA Cyg 1986                                              ,19 54 37.58        ,+35 42 15.7        
EY Cyg,19 54 36.7419691331,+32 21 55.087332328
V1454 Cyg,19 53 38.5         ,+35 21 45          
CK Cyg,19 53 34.5,+56 59 10
PQ And,19 53 06.6678196302,+12 59 00.745825696
V405 Vul,19 53 04.92        ,+21 14 49.0        
NOVA Cyg 1948                                              ,19 52 37.61        ,+36 33 52.6        
V500 Aql,19 52 27.84        ,+08 28 46.4        
DO Vul,19 52 10.6         ,+19 34 44          
V1452 Cyg                                           ,19 52 02.0         ,+35 55 34          
RX J1951.7+3716                                                            ,19 51 47.4965635643,+37 16 47.760799315
V1050 Aql                                                              ,19 51 43.2827184661,+10 51 13.288476552
V1047 Aql,19 51 31.06        ,+10 57 21.8        
CI Cyg                                                              ,19 50 11.8344401438,+35 41 03.000692799
V813 Cyg                                              ,19 49 35.91        ,+36 44 39.4        
V1449 Cyg                                              ,19 49 16.59        ,+34 10 49.2        
V542 Cyg,19 49 10.4773766823,+58 31 59.345448632
AB Dra,19 49 06.5316904125,+77 44 23.339425388
V1006 Cyg,19 48 47.1958182970,+57 09 22.398331556
V811 Cyg,19 48 23.3016955907,+36 26 23.250631916
V1153 Cyg,19 48 15.0,+34 52 02
LV Vul                                                ,19 48 00.437       ,+27 10 17.36       
V3885 Sgr,19 47 40.5289527355,-42 00 26.397656394
Gaia DR2 2027981165153807488,19 47 37.9445827227,+27 18 43.295132568
RX J1946.2-0444                                                              ,19 46 16.3509952294,-04 44 56.836512011
NOVA Vul 1968 b                                              ,19 45 35.27        ,+28 35 29.1        
V1285 Cyg                                                              ,19 44 49.5197529509,+35 59 34.513754580
NSV 12329                                           ,19 43 57.0         ,-40 26 00          
NOVA Aql 1946                                           ,19 42 53.0         ,+01 25 27          
FY Vul                                                              ,19 41 39.9333568452,+21 45 58.355654265
V1432 Aql,19 40 11.4198615379,-10 25 25.771354347
Cl* NGC 6809    SAW V43                                              ,19 40 08.64        ,-30 58 52.9        
NSV 24843                                        ,19 39 52           ,+38 17.3           
[WWS2006] M 55  9                                              ,19 39 41.92        ,-30 55 45.9        
NOVA Sge 1977                                              ,19 39 22.02        ,+18 07 53.9        
NOVA Sge 1916                                              ,19 39 08.34        ,+16 42 40.5        
V1289 Aql                                              ,19 38 42.18        ,+12 16 30.3        
EM Cyg,19 38 40.1105232999,+30 30 28.313972620
QR And,19 38 35.8145594082,-46 12 57.107614734
NSV 12245                                                              ,19 38 10.2125324007,+35 51 28.237563366
V1141 Aql,19 37 09.81        ,+02 36 00.5        
V345 Pav,19 35 42.9075023554,-59 08 22.712080996
V991 Aql                                                              ,19 35 34.8380368482,+06 33 45.778826720
BZ Aql                                                              ,19 35 29.0369579239,-01 44 18.363923085
V607 Aql                                                              ,19 35 25.5424068280,+00 42 41.100007529
V905 Cyg                                              ,19 35 05.60        ,+30 34 24.0        
NOVA Aql 1926                                                ,19 34 44.603       ,+15 01 52.05       
V2289 Cyg,19 34 36.08        ,+51 07 42.2        
V795 Cyg,19 34 34.0869964830,+31 32 11.967188210
KX Aql,19 33 53.686       ,+14 17 47.30       
HN Cyg                                                              ,19 33 39.9748921728,+28 56 14.315629843
V793 Cyg                                           ,19 33 06.2         ,+33 15 37          
WY Sge,19 32 43.819       ,+17 44 55.86       
TYC 3556-325-1                                          ,19 31 29.1493964671,+45 59 06.099062420
DO Aql,19 31 25.91        ,-06 25 38.3        
V792 Cyg,19 31 00.9857327945,+33 47 03.845629267
TYC  486-295-1                                          ,19 30 50.7587868780,+05 30 58.265167846
V1505 Cyg                                           ,19 29 49.0         ,+28 32 54          
NQ Vul                                                ,19 29 14.751       ,+20 27 59.63       
V868 Cyg                                           ,19 29 04.5         ,+28 54 26          
V1504 Cyg,19 28 56.4512410076,+43 05 37.077434745
2MASS J19283247-5001344,19 28 32.48        , -50 01 34.4        
NSV 24785                                              ,19 27 56.39        ,+03 41 42.4        
V1233 Aql                                              ,19 27 25.44        ,+02 23 03.1        
V2176 Cyg,19 27 11.7242135248,+54 17 50.825521848
V368 Aql,19 26 34.4601516502,+07 36 13.812602548
DH Aql,19 26 10.8184000799,-10 15 30.184256483
PV Per,19 26 05.06        ,+27 21 58.8        
NOVA Aql 1949                                              ,19 25 31.80        ,+02 47 31.9        
V1229 Aql                                              ,19 24 44.52        ,+04 14 48.7        
KL Dra,19 24 38.28        ,+59 41 46.7        
V1114 Cyg                                              ,19 24 36.44        ,+28 26 10.5        
BF Cyg                                                              ,19 23 53.5009795759,+29 40 29.173306238
V1370 Aql                                                              ,19 23 21.2450782211,+02 29 26.326256456
V1494 Aql,19 23 05.30        ,+04 57 19.1        
V730 Sgr                                                              ,19 23 00.9749153255,-28 29 37.482207538
V1113 Cyg,19 22 41.9764656306,+52 43 59.238197043
V523 Lyr,19 21 07.402       ,+37 47 56.53       
V516 Lyr,19 20 35.725       ,+37 44 52.29       
HD 181419                                           ,19 20 24.3         ,-00 08 07          
CZ Aql,19 19 58.2039118937,-07 10 55.235385232
V528 Aql                                             ,19 19 18.97        ,+00 37 53.8        
V1336 Aql                                                             ,19 18 41.8682712388,-05 14 11.663910908
PN A66   58                                               ,19 18 20.476       ,+01 46 59.62       
V1301 Aql                                             ,19 17 55.20        ,+04 47 18.3        
V587 Lyr,19 17 26.4564787912,+37 10 40.675538832
V356 Aql                                             ,19 17 13.53        ,+01 43 22.1        
V729 Sgr,19 16 49.0992922486,-26 14 33.707728140
FO Aql,19 16 38.1695120181,+00 07 37.020255198
V1378 Aql,19 16 35.4734065887,+03 43 26.326281401
V344 Pav,19 16 09.6825503895,-62 35 51.870254480
NSV 11855                                             ,19 15 54.69        ,-00 14 44.7        
V407 Vul,19 14 26.09        ,+24 56 44.6        
V585 Lyr,19 13 58.47        ,+40 44 09.1        
V1315 Aql,19 13 54.5309857214,+12 18 03.237989331
PN K  3-25                                                             ,19 13 33.6917939901,+02 18 13.044567019
NOVA Aql 1993                                             ,19 13 06.80        ,+01 34 23.3        
V369 Lyr                                          ,19 11 55.0         ,+32 12 07          
NOVA Sgr 1927                                          ,19 11 16.3         ,-29 50 00          
V584 Lyr,19 10 59.41        ,+28 56 38.7        
[PLH2002] CX15                                               ,19 10 55.847       ,-59 57 45.78       
[PLH2002] CX10                                               ,19 10 54.754       ,-59 59 13.86       
PSR J1910-5959D                                                 ,19 10 52.4163      ,-59 59 05.479      
[JVH94] NGC  6752 22                                               ,19 10 51.505       ,-59 59 27.10       
[PLH2002] CX5                                               ,19 10 51.414       ,-59 59 05.18       
2MASS J19105123-5957526,19 10 51.236,-59 57 52.63
[JVH94] NGC  6752  7b                                           ,19 10 51.20         ,-59 59 08.2        
[JVH94] NGC  6752  7b                                           ,19 10 51.20         ,-59 59 08.2        
[PLH2002] CX13                                               ,19 10 40.610       ,-60 00 05.91       
[G93] NGC 6752 A                                               ,19 10 40.375       ,-59 58 41.47       
V452 Lyr                                             ,19 10 26.32        ,+43 28 55.2        
V419 Lyr,19 10 13.91        ,+29 06 14.0        
V363 Lyr,19 08 51.5883192437,+43 00 31.277920625
V1089 Sgr                                             ,19 08 46.38        ,-17 21 46.7        
V415 Lyr                                             ,19 08 03.88        ,+31 23 55.7        
NOVA Aql 1951                                             ,19 07 39.79        ,+10 29 43.7        
V1493 Aql,19 07 36.90        ,+12 31 26.2        
CG Dra,19 07 32.7669374187,+52 58 28.419648952
NOVA Aql 2001                                             ,19 07 28.41        ,+11 44 45.8        
V1082 Sgr,19 07 21.8655835677,-20 46 50.531895104
MU Cen,19 07 16.2886975947,+44 01 07.867270712
EP Dra,19 07 06.1869434379,+69 08 43.874477498
NSV 24685                                          ,19 05 36.7         ,+14 11 48          
V1425 Aql,19 05 26.67        ,-01 42 14.0        
NOVA Aql 2005                                             ,19 05 12.50        ,+05 14 12.0        
HD 177444                                                             ,19 05 00.1272382869,-07 08 30.795072880
QV Vul                                             ,19 04 40.32        ,+21 46 14.2        
CM Aql                                                             ,19 03 35.1415731789,-03 03 15.362466392
NSV 24667                                          ,19 02 56.7         ,+15 09 41          
NOVA Aql 1985                                             ,19 02 14.84        ,+13 03 03.2        
HD 176779                                             ,19 02 06.33        ,-04 26 43.2        
NSV 24663                                          ,19 01 59.5         ,+13 52 30          
V1059 Sgr,19 01 50.5564009719,-13 09 41.863775755
V493 Lyr                                                             ,19 01 31.4891639287,+42 54 52.922487603
V4743 Sgr,19 01 09.38        ,-22 00 05.9        
V447 Lyr,19 00 19.91        ,+44 27 45.0        
V358 Lyr,18 59 32.95        ,+42 24 12.2        
DM Lyr,18 58 44.43        ,+30 15 33.0        
FS Sct                                             ,18 58 16.91        ,-05 24 05.1        
V446 Her,18 57 21.5917264330,+13 14 29.319279140
NOVA Sct 1938                                                             ,18 56 34.9942560503,-08 35 29.870154077
V800 Aql                                                             ,18 56 32.4243015413,+10 48 42.795927417
NOVA Sct 1949                                                             ,18 56 13.1273867736,-04 12 32.408528208
EL Aql                                                             ,18 56 02.0300565382,-03 19 20.433951410
V373 Sct,18 55 26.71        ,-07 43 05.5        
[RW2006] 3                                             ,18 55 03.89        ,-30 28 38.0        
[RW2006] 5                                             ,18 55 03.65        ,-30 28 41.1        
[RW2006] 2                                             ,18 55 03.48        ,-30 28 47.4        
[RW2006] 1                                             ,18 55 02.96        ,-30 28 45.0        
[RW2006] 6                                                                                ,18 55 02.76        ,-30 28 53.0        
[RW2006] 7                                             ,18 55 02.66        ,-30 28 41.5        
[RW2006] 4                                             ,18 55 02.45        ,-30 28 57.5        
V1223 Sgr,18 55 02.3109253503,-31 09 49.589704079
V4368 Sgr                                                             ,18 54 40.3171036103,-19 41 59.693299158
UGC 11376,18 54 14.3025645340,+48 55 44.654926649
HR Lyr                                                             ,18 53 25.0563792985,+29 13 37.666397979
NOVA Lyr 1923                                          ,18 53 10.0         ,+35 47 00          
Cl* NGC 6712    PFP   10261                                             ,18 53 03.88        ,-08 42 27.3        
Cl* NGC 6712    SAW V9                                             ,18 53 03.60        ,-08 37 24.0        
CY Lyr,18 52 41.3791476281,+26 45 31.441974996
CI Aql,18 52 03.5647265171,-01 28 39.191180908
V4332 Sgr                                                             ,18 50 36.6959119600,-21 23 28.927014456
NOVA Sct 1989                                             ,18 49 38.95        ,-06 11 15.9        
NOVA Sct 2003                                               ,18 49 37.602       ,-09 33 50.94       
V603 Aql,18 48 54.6369118792,+00 35 02.855110952
V522 Sgr,18 48 00.4649902559,-25 22 21.986275129
NOVA Sct 1991                                             ,18 47 09.91        ,-08 20 53.6        
MT Dra                                                           ,18 46 58.7963755,+55 38 28.765596114
NOVA Sct 1981                                          ,18 46 51.1         ,-04 56 38          
V838 Her,18 46 31.56        ,+12 14 00.7        
NOVA Sct 1915                                             ,18 45 48.38        ,-06 25 14.7        
NOVA Sct 1970                                             ,18 45 43.53        ,-08 33 00.9        
V2038 Sgr                                             ,18 45 20.35        ,-26 27 47.4        
NSV 11297                                                             ,18 45 12.5085855317,-02 58 35.036555669
NSV 11280                                    ,18 44.6            ,-02 59             
V347 Pav,18 44 48.2635326025,-74 18 34.218756613
V344 Lyr,18 44 39.1748774868,+43 22 28.051486081
AY Lyr,18 44 26.6875614864,+37 59 51.939927351
AK Tel                                                             ,18 43 48.7913791513,-55 00 22.700870536
V2032 Sgr                                                             ,18 43 47.0903692310,-27 34 01.768063551
