GCVS-Name,RA(2000),Dec(2000),PM-RA,PM-RAerr,PM-Dec,PM-Decerr,Epoch,l,b,Type,Period,Outburst,Cluster,Mag. Range,Coord-Ref.,PM-Ref,Type-Ref.,Chart-Ref.,Spect-Ref.,Period-Ref.,Other-Name,IUE,HST,ARIEL5,HEAO1,HEAO2,EXOSAT,ROSAT,GINGA,ASCA,EUVE,
FN And,01:11:57.59,+35:17:24.1,-0.0027,5,-0.0025,5,2000,128,-27,ug,,,,13.5p-19.3V,1987-28,1987-28,1987-04,1987-04*,2000-01S,,S 9505,,,,,,,,,,,
V418 Cas,01:12:59.89,+62:10:47.6,,,,,,,,non-cv,,,,- ,,,T00000*,,,,S 9142,,,,,,,,,,,
And3,01:14:44.,+35:37:09.,,,,,,128,-27,N:,,,,10p-<13P,1876-01,,T00001,A9999-99*,,,NSV 447,,,,,,,,,,,
FO And,01:15:32.14,+37:37:35.6,24,7,-4,6,2000,128,-25,ugsu,0.07161,,,13.5v-17.5v,2003-115,2003-115,1995-41,1987-04*,1989-06S,1996-73,S 9508,,,,,,,Y,,,,
BE Tuc,01:16:58.33,-73:43:10.4,,,,,,,,non-cv,,,,- ,,,1982-03*,,,,HV 2205,,,,,,,,,,,
WX Cet,01:17:04.18,-17:56:22.6,-0.01,3,0,5,2000,157,-79,ugwz,0.05829,,,9.5V-18.5V,2003-115,2003-115,1987-08,1987-08,1981-03S,2003-81,BV 416,Y,Y,,,,,Y,,,Y,
Psc,01:17:37.5,+05:10:40.,,,,,,135,-57,n:,,,,18.B-21.5B,C00005,,1977-05,1977-05*,1977-05X:,,NSV 15271,,,,,,,,,,,
Cas3,01:18:25.6,+63:42:08.,,,,,,126,1,n:,,,,10p-18p,ICRS*,,1990-19,1962-03*,,,ISV 0115+63,,,,,,,,,,,
AH Psc,01:21:32.6,+09:40:59.,,,,,,135,-52,N:,,,,9.5v-<14v,1938-01*,,T00000,A9999-99*,,,BD +8 215,,,,,,,,,,,
Hyi,01:22:53.3,-75:21:14.0,,,,,,,,non-cv,,,,-,,,1995-72*,,,,RX J012254.1-752117,,,,,,,,,,,
UY Phe,01:23:11.00,-42:18:33.8,,,,,,,,non-cv,,,,- ,,,1986-17*,,,,S 7154,,,,,,,,,,,
TY Psc,01:25:39.38,+32:23:09.1,0.0118,5,-0.0333,5,2000,131,-30,ugsu,0.06833,,,11.7V-16.3V,1987-28,1987-28,1987-20,1987-04,1985-07S,1996-54,S 10900,,Y,,,,,,,,,
And,01:27:50.60,+38:08:12.6,,,,,,131,-24,cv,,,,17.3B- ,ICRS,,1999-16,1998-23,1999-16S,,1RXS J0127+3808,,,,,,,Y,,,,
AS Psc,01:28:08.37,+31:14:57.3,,,,,,132,-31,ugsu:,,1963.,,16.6p-21.5p,2002-37,,2001-61,2002-37*,,,S 10828,,,,,,,,,,,
And,01:28:28.98,+38:54:36.9,2,1,-0.01,3,2000,131,-23,cv::,,,,15.0V-,2003-115,2003-115,2002-69,1990-39,,,FBS 0125+386,,,,,,,,,,,
EQ Cet,01:28:52.52,-23:39:43.8,0.0394,0.0039,-0.0385,0.0047,1991.25,193,-81,am,0.064455,,,17.5V-18.9V,2004-109,2004-109,2000-29,1999-87,1999-87S,2002-102,1RXS J012852-233931,,,,,,,Y,,,,
And,01:29:40.06,+38:42:10.4,,,,,,131,-24,ibwd,,,,19.8s-,2005-69,,2005-69,A9999-99,2005-69S,,SDSS J012940+384210,,,,,,,,,,,
KU Cas,01:31:02.37,+57:54:13.4,2,1,16,2,2000,128,-4,ugSS,,,,13.3p-19.7B,2003-115,2003-115,1987-04/T00000,1987-04,2000-01S,,S 3883,,,,,,,,,,,
And,01:31:26.07,+36:02:39.7,-14,5,36,8,2000,132,-26,cv,,,,16.5B- ,2003-115,2003-115,2000-80,2000-80,2000-80S,,RX J0131.4+3602,,,,,,,Y,,,,
Cet,01:31:32.39,-09:01:22.3,-0.0145,0.0039,-0.00179,0.00389,2000735,153,-70,cv,68,,,18.3s-,2006-22,2006-22,2003-22,A9999-99,2003-22S,2003-22,SDSS J013132-090122,,Y,,,,,,,,,
TT Tri,01:31:59.86,+29:49:22.1,0.0065,0.0056,-0.0054,0.0056,2000,133,-32,cv/nl,0.1396,,,14.7p-16.7p,2004-105,2004-105,2005-09,1978-07,,2005-09,GR 286, HS 0129+2933,,,,,,,,,,
CV Hyi,01:32:42.07,-65:54:32.5,,,,,,296,-51,am,0.054049,,,19.7V- ,ICRS,,1997-06,1997-06,1997-06S,1997-06,RX J0132.7-6554,,,,,,,Y,,,,
TW Tri,01:36:37.01,+32:00:40.0,0.0081,0.0056,2,0.0056,2000,134,-30,cv/UGZ,0.207584,,,13.3p-17.0p,2004-105,2004-105,1994-07/T00000,1978-06,1994-07S,1998-72,GR 292/SVS 2288,,,,,,,,,,,
AY Psc,01:36:55.46,+07:16:29.3,0.0155,0.0057,-0.0052,0.0054,2000,142,-54,ugz,0.217321,,,15.3V-17.0V,2004-105,2004-105,2002-123,1982-06,1993-02S,1990-34,NSV 564, PG 0134+070,,,,,,Y,,,,
Cet,01:37:01.07,-09:12:34.8,-0.03219,0.0039,-0.0539,0.00389,2000738,156,-69,ugsu,0.055351,,,12.5V-18.6V,2006-22,2006-22,2004-35,A9999-99,2003-22S,2004-35,SDSS J013701-091235,,,,,,,,,,,
